,graph_type,execu_time,synergy,asc_ratio,rsr_ratio,gini_in,gini_out,nodes,edges,volume
0,G,,,0.48082641689900374,0.5191735831010017,0.573196360176234,0.532961434819808,100,1903,250122.0
1,tg_dynet,0.7579479217529297,0.40103229623943515,0.7417709853575545,0.25822901464244485,0.7922020491940058,0.7766088175416346,100,1903,250122.0
2,tg_statnet,0.028682947158813477,0.2812867320747475,0.6152563528100061,0.38474364718999093,0.7300855556668113,0.6983615366643303,100,1903,250122.0
3,G,,,0.5173049865441949,0.4826950134558075,0.5479617206439089,0.5423572295644721,200,7923,1388085.0
4,tg_dynet,6.788718938827515,0.3653774804857052,0.7825699799717095,0.21743002002829176,0.797317739610176,0.8015536320395955,200,7923,1388085.0
5,tg_statnet,0.1528942584991455,0.30653814427790804,0.6792033921668119,0.32079660783317493,0.7407292350589665,0.7431055471522487,200,7923,1388085.0
6,G,,,0.48813136026597986,0.5118686397340374,0.4788414088336399,0.476495220115134,300,18029,3058407.0
7,tg_dynet,25.628602743148804,0.5286085207102913,0.8013740520263196,0.1986259479736796,0.7514252040578748,0.751303283769402,300,18029,3058407.0
8,tg_statnet,0.5273458957672119,0.3685660541582595,0.6547867132149439,0.34521328678505986,0.688279664992735,0.6883842606928468,300,18029,3058407.0
9,G,,,0.5041577398204982,0.49584226017953514,0.4711757799247782,0.4745888042883146,400,31755,5877554.0
10,tg_dynet,65.05597591400146,0.4828078142710386,0.8341776946070358,0.16582230539296414,0.7552273033809513,0.7666694998889738,400,31755,5877554.0
11,tg_statnet,1.3374919891357422,0.34776575425763845,0.6687150147127738,0.3312849852872147,0.6573131532144425,0.6782916634277125,400,31755,5877554.0
12,G,,,0.4738488643795737,0.5261511356204271,0.4336593827787816,0.4336992819300496,500,50057,8747755.0
13,tg_dynet,141.64358115196228,0.539631368276775,0.8004568451725143,0.19954315482748072,0.7353578950295889,0.7412190141418635,500,50057,8747755.0
14,tg_statnet,2.4287469387054443,0.3832691930672498,0.6520512190255221,0.34794878097446974,0.6391259352623999,0.6609519685783716,500,50057,8747755.0
15,G,,,0.45851395365646086,0.5414860463436426,0.41342588665270963,0.41160811021136134,600,71725,12344668.0
16,tg_dynet,265.5733001232147,0.5559393739872145,0.7842877641003445,0.2157122358996607,0.7269490235016685,0.742583504339192,600,71725,12344668.0
17,tg_statnet,3.589338779449463,0.4151210060894307,0.6267821369477148,0.37321786305221016,0.6324672516601832,0.6570053723818998,600,71725,12344668.0
18,G,,,0.4604417756196507,0.5395582243808299,0.4007795089368855,0.3943974623341653,700,97958,17553071.0
19,tg_dynet,1887.7616047859192,0.5725419215816994,0.7956554175347998,0.20434458246520196,0.7248376196113151,0.7102278166422435,700,97958,17553071.0
20,tg_statnet,5.661195993423462,0.43060089029435367,0.6276510542738538,0.3723489457262233,0.6174485517835941,0.6403881237319982,700,97958,17553071.0
21,G,,,0.46303256540967364,0.5369674345903734,0.3776529026111586,0.37890316200255136,800,127695,23868371.0
22,tg_dynet,878.185179233551,0.5605232129163737,0.8077644719063429,0.19223552809365943,0.6859877954058284,0.6873412663930305,800,127695,23868371.0
23,tg_statnet,9.412845134735107,0.44126496944429094,0.6234905006033287,0.3765094993966959,0.5844878599207639,0.6104939479097893,800,127695,23868371.0
24,G,,,0.44306529906804315,0.5569347009320771,0.3695774350204446,0.36753292086521117,900,161969,29346645.0
25,tg_dynet,1381.6181678771973,0.6123907179168181,0.7910354819701751,0.20896451802981805,0.6976148863190501,0.7034988338201305,900,161969,29346645.0
26,tg_statnet,10.550990104675293,0.4528368404633647,0.5891540557378908,0.41084594426208326,0.5923260621769149,0.5949851955097181,900,161969,29346645.0
27,G,,,0.44058729352228476,0.559412706477351,0.35024348248397574,0.3507650257225592,1000,199341,36010997.0
28,tg_dynet,2517.9876911640167,0.6084576886332805,0.790212007823035,0.20978799217696278,0.6861645480239513,0.6945654937375483,1000,199341,36010997.0
29,tg_statnet,16.73700189590454,0.4687662771458396,0.5969332437195003,0.4030667562806227,0.5649870734610138,0.5932228223187397,1000,199341,36010997.0
30,G,,,0.48266506071921494,0.5173349392807906,0.5664659638939866,0.5467411548802867,100,2967,468620.0
31,tg_dynet,1.4283859729766846,0.4016367205838419,0.7863673204340008,0.2136326795659973,0.8197248622528128,0.8060526381483926,100,2967,468620.0
32,tg_statnet,0.04786992073059082,0.3126968545943408,0.6434888990042145,0.35651110099578703,0.7657990462115474,0.7442239912569393,100,2967,468620.0
33,G,,,0.5095218521214184,0.490478147878574,0.5244007514109572,0.5370366477769386,200,11993,2425304.0
34,tg_dynet,13.08313512802124,0.4552423118916227,0.797618820580097,0.20238117941989858,0.7717450346388861,0.7979866795640036,200,11993,2425304.0
35,tg_statnet,0.29048776626586914,0.30250022265250043,0.6865976330854328,0.3134023669145648,0.7143806753055748,0.7312578348108858,200,11993,2425304.0
36,G,,,0.45638265054292443,0.5436173494571129,0.454985747858083,0.4509642917239425,300,26876,4720577.0
37,tg_dynet,46.02971386909485,0.5084848737770827,0.7828242773816184,0.21717572261838283,0.7427882132628807,0.7621705718027125,300,26876,4720577.0
38,tg_statnet,0.9098260402679443,0.37640271517655577,0.6270921158516733,0.3729078841483472,0.6452146323660712,0.664170502208246,300,26876,4720577.0
39,G,,,0.4503203635573309,0.549679636442526,0.41321663784175566,0.4174904871628542,400,47647,8921103.0
40,tg_dynet,123.08457279205322,0.5357371168116767,0.7860618464676302,0.21393815353237228,0.7202848496898766,0.7341969522690601,400,47647,8921103.0
41,tg_statnet,1.9103291034698486,0.4184546462472185,0.6301637839808925,0.3698362160190986,0.631252638286701,0.6485020034595046,400,47647,8921103.0
42,G,,,0.43603496452623486,0.5639650354734499,0.3748524679868239,0.38896007808227306,500,74669,13669684.0
43,tg_dynet,530.1346528530121,0.5975419036753153,0.7858888698550905,0.2141111301449071,0.7191982902766985,0.726685048282506,500,74669,13669684.0
44,tg_statnet,3.462959051132202,0.4316131228783343,0.6159039573303372,0.3840960426697268,0.6040966674384713,0.6290727486589196,500,74669,13669684.0
45,G,,,0.4219357124089512,0.5780642875914311,0.3597754641662094,0.3496062668841853,600,107333,19338116.0
46,tg_dynet,4421.08661699295,0.6315016933397235,0.7986091711851362,0.20139082881486634,0.7032157932086764,0.6985694075863955,600,107333,19338116.0
47,tg_statnet,6.999909162521362,0.47543033664706535,0.5879426749987845,0.412057325001292,0.5773598975400267,0.5880438428016932,600,107333,19338116.0
48,G,,,0.415526509663836,0.5844734903360129,0.34576158982606797,0.330918001068107,700,146481,26941391.0
49,tg_dynet,4782.936684131622,0.6478192607055813,0.7825188309933542,0.21748116900663791,0.6904841888995419,0.6864928852596206,700,146481,26941391.0
50,tg_statnet,9.226889848709106,0.4978330925823392,0.575888566265755,0.4241114337343194,0.5730762381864878,0.5779812325887554,700,146481,26941391.0
51,G,,,0.3978252928239484,0.602174707175394,0.318118932527667,0.3133840387408533,800,191279,33813504.0
52,tg_dynet,1780.6444771289825,0.6736770906676812,0.7695285079378489,0.23047149206213557,0.6860651563228282,0.6953730388900032,800,191279,33813504.0
53,tg_statnet,14.364295959472656,0.5204700465234244,0.55203438047046,0.4479656195294966,0.5565379212842165,0.5713624721762898,800,191279,33813504.0
54,G,,,0.40454513305108625,0.5954548669483828,0.3174832927282274,0.31298024509025857,900,242946,46045386.0
55,tg_dynet,5681.97748875618,0.6707182995490579,0.7736982880424679,0.22630171195754126,0.6617937086569323,0.668982060204155,900,242946,46045386.0
56,tg_statnet,20.662174940109253,0.49909530566211346,0.5526881998091429,0.44731180019094646,0.5366700177739432,0.5632317382550223,900,242946,46045386.0
57,G,,,0.3912064394268221,0.6087935605744533,0.29420699886253243,0.2931611929671565,1000,300750,54347917.0
58,tg_dynet,8278.031440973282,0.6988193678149615,0.7797875685012418,0.22021243149874992,0.6646904576706292,0.6662113911197944,1000,300750,54347917.0
59,tg_statnet,30.63782501220703,0.5549947572047702,0.5600676202570577,0.43993237974292054,0.5408480939593077,0.5643841587972236,1000,300750,54347917.0
